year,title,source,language,primary_activity,date,url,text,keyword,date_raw,secondary_activity,activity_scores,classification_confidence,sentiment_score,sentiment_label,sentiment_pos_count,sentiment_neg_count,entities_institutions,entities_locations,entities_domains
2000,EU-China S&T Cooperation Agreement renewed for new decade,EU Commission Press,en,Joint Programs,2000-02-22,https://example.com/article/0,EU-China S&T Cooperation Agreement renewed for new decade,EU-China S&T,2000-02-22,,"{'Joint Research Projects': 0.0, 'Joint Programs': 0.0, 'Researcher Exchange': 0.0, 'Conferences & Seminars': 0.0, 'Exchange of Scientific Information': 0.0, 'Flagship Initiatives': 0.0}",0.0,1.0,Positive,6,0,EU,China,
2001,First EU-China Joint Research Committee meeting in Beijing,EU Commission Press,en,Conferences & Seminars,2001-08-13,https://example.com/article/1,First EU-China Joint Research Committee meeting in Beijing,EU-China S&T,2001-08-13,,"{'Joint Research Projects': 2.4, 'Joint Programs': 0.0, 'Researcher Exchange': 0.0, 'Conferences & Seminars': 0.0, 'Exchange of Scientific Information': 0.0, 'Flagship Initiatives': 0.0}",1.0,1.0,Positive,2,0,EU,Beijing; China,
2002,EU-China researcher mobility programme launched,Xinhua (EN),en,Researcher Exchange,2002-06-25,https://example.com/article/2,EU-China researcher mobility programme launched,EU-China S&T,2002-06-25,,"{'Joint Research Projects': 0.0, 'Joint Programs': 0.0, 'Researcher Exchange': 0.0, 'Conferences & Seminars': 0.0, 'Exchange of Scientific Information': 0.0, 'Flagship Initiatives': 0.0}",0.0,1.0,Positive,2,0,EU,China,
2003,中欧科技合作联委会第二次会议在布鲁塞尔举行,新华网 (ZH),zh,Conferences & Seminars,2003-02-20,https://example.com/article/3,中欧科技合作联委会第二次会议在布鲁塞尔举行,EU-China S&T,2003-02-20,,"{'Joint Research Projects': 0.0, 'Joint Programs': 0.0, 'Researcher Exchange': 0.0, 'Conferences & Seminars': 2.0, 'Exchange of Scientific Information': 0.0, 'Flagship Initiatives': 0.0}",1.0,1.0,Positive,2,0,,,
2004,EU-China joint workshop on environmental science cooperation,EU Commission Press,en,Conferences & Seminars,2004-03-03,https://example.com/article/4,EU-China joint workshop on environmental science cooperation,EU-China S&T,2004-03-03,,"{'Joint Research Projects': 0.0, 'Joint Programs': 0.0, 'Researcher Exchange': 0.0, 'Conferences & Seminars': 2.0, 'Exchange of Scientific Information': 0.0, 'Flagship Initiatives': 0.0}",1.0,1.0,Positive,4,0,EU,China,environment
2004,中欧联合研究项目首批成果发布,新华网 (ZH),zh,Joint Research Projects,2004-07-28,https://example.com/article/5,中欧联合研究项目首批成果发布,EU-China S&T,2004-07-28,,"{'Joint Research Projects': 2.4, 'Joint Programs': 0.0, 'Researcher Exchange': 0.0, 'Conferences & Seminars': 0.0, 'Exchange of Scientific Information': 0.0, 'Flagship Initiatives': 0.0}",1.0,0.0,Neutral,0,0,,,
2005,EU-China cooperative research project on nanotechnology signed,Xinhua (EN),en,Joint Research Projects,2005-09-22,https://example.com/article/6,EU-China cooperative research project on nanotechnology signed,EU-China S&T,2005-09-22,,"{'Joint Research Projects': 2.4, 'Joint Programs': 0.0, 'Researcher Exchange': 0.0, 'Conferences & Seminars': 0.0, 'Exchange of Scientific Information': 0.0, 'Flagship Initiatives': 0.0}",1.0,1.0,Positive,2,0,EU,China,nanotechnology
2005,中欧研究人员交流项目正式启动,新华网 (ZH),zh,Researcher Exchange,2005-09-23,https://example.com/article/7,中欧研究人员交流项目正式启动,EU-China S&T,2005-09-23,,"{'Joint Research Projects': 0.0, 'Joint Programs': 0.0, 'Researcher Exchange': 2.0, 'Conferences & Seminars': 0.0, 'Exchange of Scientific Information': 0.0, 'Flagship Initiatives': 0.0}",1.0,0.0,Neutral,0,0,,,
2006,EU FP7 opens calls for China-based research collaborations,EU Commission Press,en,Joint Programs,2006-07-04,https://example.com/article/8,EU FP7 opens calls for China-based research collaborations,EU-China S&T,2006-07-04,Joint Programs,"{'Joint Research Projects': 2.4, 'Joint Programs': 2.2, 'Researcher Exchange': 0.0, 'Conferences & Seminars': 0.0, 'Exchange of Scientific Information': 0.0, 'Flagship Initiatives': 0.0}",0.522,0.0,Neutral,0,0,EU,China,
2006,EU-China S&T information exchange protocol signed in Beijing,Xinhua (EN),en,Exchange of Scientific Information,2006-11-13,https://example.com/article/9,EU-China S&T information exchange protocol signed in Beijing,EU-China S&T,2006-11-13,,"{'Joint Research Projects': 0.0, 'Joint Programs': 0.0, 'Researcher Exchange': 0.0, 'Conferences & Seminars': 0.0, 'Exchange of Scientific Information': 1.8, 'Flagship Initiatives': 0.0}",1.0,1.0,Positive,2,0,EU,Beijing; China,
2007,EU-China high-level dialogue on energy technology cooperation,EU Commission Press,en,Conferences & Seminars,2007-07-11,https://example.com/article/10,EU-China high-level dialogue on energy technology cooperation,EU-China S&T,2007-07-11,,"{'Joint Research Projects': 0.0, 'Joint Programs': 0.0, 'Researcher Exchange': 0.0, 'Conferences & Seminars': 2.0, 'Exchange of Scientific Information': 0.0, 'Flagship Initiatives': 0.0}",1.0,1.0,Positive,2,0,EU,China,energy
2007,中欧签署科技信息共享协议,People's Daily (EN),zh,Exchange of Scientific Information,2007-03-26,https://example.com/article/11,中欧签署科技信息共享协议,EU-China S&T,2007-03-26,,"{'Joint Research Projects': 0.0, 'Joint Programs': 0.0, 'Researcher Exchange': 0.0, 'Conferences & Seminars': 0.0, 'Exchange of Scientific Information': 1.8, 'Flagship Initiatives': 0.0}",1.0,1.0,Positive,2,0,,,
2008,EU-China joint research programme on climate change launched,EU Commission Press,en,Joint Research Projects,2008-10-19,https://example.com/article/12,EU-China joint research programme on climate change launched,EU-China S&T,2008-10-19,,"{'Joint Research Projects': 4.8, 'Joint Programs': 0.0, 'Researcher Exchange': 0.0, 'Conferences & Seminars': 0.0, 'Exchange of Scientific Information': 0.0, 'Flagship Initiatives': 0.0}",1.0,1.0,Positive,4,0,EU,China,climate
2008,EU-China summit: science and technology agreement extended,Xinhua (EN),en,Joint Programs,2008-05-24,https://example.com/article/13,EU-China summit: science and technology agreement extended,EU-China S&T,2008-05-24,,"{'Joint Research Projects': 0.0, 'Joint Programs': 0.0, 'Researcher Exchange': 0.0, 'Conferences & Seminars': 2.0, 'Exchange of Scientific Information': 0.0, 'Flagship Initiatives': 0.0}",1.0,1.0,Positive,2,0,EU,China,
2009,China-EU sustainable energy research fellowship established,EU Commission Press,en,Researcher Exchange,2009-07-13,https://example.com/article/14,China-EU sustainable energy research fellowship established,EU-China S&T,2009-07-13,,"{'Joint Research Projects': 0.0, 'Joint Programs': 0.0, 'Researcher Exchange': 2.0, 'Conferences & Seminars': 0.0, 'Exchange of Scientific Information': 0.0, 'Flagship Initiatives': 0.0}",1.0,0.0,Neutral,0,0,EU,China,energy; ai
